,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
148,-0.644489892156695,NP_002745,NP_002745.1,NM_002754.5
149,-0.875686341578171,NP_002853,NP_002853.2,NM_002862.4
150,-0.902200481310425,NP_002862,NP_002862.2,NM_002871.5
151,-0.843577930911426,NP_002940,NP_002940.2,NM_002949.4
152,-0.729484873653072,NP_002941,NP_002941.1,NM_002950.4
153,-0.719960509689651,NP_002957,NP_002957.1,NM_002966.3
154,-1.30662016284635,NP_003059,NP_003059.1,NM_003068.5
155,-1.29863043241098,NP_003096,NP_003096.2,NM_003105.6
156,1.30196835879555,NP_003102,NP_003102.1,NM_003111.5
157,3.49546526821252,NP_003146,NP_003146.1,NM_003155.3
158,-0.999020002797146,NP_003159,NP_003159.1,NM_003168.3
159,-1.4561587368738,NP_003263,NP_003263.1,NM_003272.4
160,-0.540354881370659,NP_003293,NP_003293.2,NM_003302.3
161,-0.838492772796835,NP_003333,NP_003333.1,NM_003342.5
162,-0.691894768300508,NP_003371,NP_003371.2,NM_003380.5
163,-1.0280184261125,NP_003610,NP_003610.2,NM_003619.4
164,-1.12728418738684,NP_003621,NP_003621.1,NM_003630.3
165,-1.41199455708385,NP_003704,NP_003704.3,NM_003713.5
166,-0.590407810232011,NP_003722,NP_003722.2,NM_003731.3
167,0.943136343366928,NP_003733,NP_003733.2,NM_003742.4
168,2.66824253942898,NP_003755,NP_003755.2,NM_003764.4
169,-0.801710330151519,NP_003809,NP_003809.1,NM_003818.4
170,-1.03426508975396,NP_003874,NP_003874.2,NM_003883.4
171,-0.882171176381519,NP_003918,NP_003918.1,NM_003927.5
172,-0.817736007716276,NP_003936,NP_003936.1,NM_003945.4
173,1.25449041307356,NP_004064,NP_004064.2,NM_004073.4
174,-0.83339465519801,NP_004081,NP_004081.1,NM_004090.4
175,-0.595042524941417,NP_004085,NP_004085.1,NM_004094.5
176,-1.07915081431127,NP_004216,NP_004216.2,NM_004225.3
177,-0.788171555896827,NP_004274,NP_004274.1,NM_004283.4
178,-0.490678670845502,NP_004392,NP_004392.1,NM_004401.3
179,-0.658069375157532,NP_004482,NP_004482.4,NM_004491.5
180,-0.54435753874728,NP_004505,NP_004505.2,NM_004514.4
181,-0.776515179604371,NP_004652,NP_004652.2,NM_004661.4
182,-0.953810210288519,NP_004702,NP_004702.2,NM_004711.5
183,-0.887030799602684,NP_004798,NP_004798.3,NM_004807.3
184,-1.65531414913377,NP_004884,NP_004884.1,NM_004893.3
185,2.22123981472772,NP_004923,NP_004923.1,NM_004932.4
186,-0.80222078655696,NP_004956,NP_004956.5,NM_004965.7
187,-0.83565952230116,NP_005018,NP_005018.2,NM_005027.4
188,-1.03653065211136,NP_005021,NP_005021.2,NM_005030.6
189,-0.585240010140611,NP_005225,NP_005225.2,NM_005234.4
190,0.719639740071309,NP_005309,NP_005309.1,NM_005318.4
191,-0.846656228920772,NP_005310,NP_005310.1,NM_005319.4
192,-1.35410725469181,NP_005311,NP_005311.1,NM_005320.3
193,-0.753993271589308,NP_005312,NP_005312.1,NM_005321.3
194,-0.616786164967512,NP_005315,NP_005315.1,NM_005324.5
195,0.913622903793049,NP_005317,NP_005317.2,NM_005326.6
196,-0.679393389149916,NP_005331,NP_005331.1,NM_005340.7
197,-0.543869358571342,NP_005422,NP_005422.1,NM_005431.2
198,-0.621984215458187,NP_005633,NP_005633.2,NM_005642.3
199,-1.16287733779945,NP_005706,NP_005706.1,NM_005715.3
200,-0.706202910327644,NP_005944,NP_005944.1,NM_005953.5
